product_id,product_name,category,unit_price,active_flag
P0079,Product 0079,Sports,68.83,TRUE
P0080,Product 0080,Grocery,440.0,TRUE
P0081,Product 0081,Apparel,220.78,TRUE
P0082,Product 0082,Sports,307.0,TRUE
P0083,Product 0083,Electronics,334.93,TRUE
P0084,Product 0084,Grocery,469.65,TRUE
P0085,Product 0085,Grocery,445.19,TRUE
P0086,Product 0086,Apparel,138.36,TRUE
P0087,Product 0087,Toys,104.19,TRUE
P0088,Product 0088,Sports,254.19,TRUE
P0089,Product 0089,Electronics,48.87,TRUE
P0090,Product 0090,Sports,24.91,TRUE
P0091,Product 0091,Apparel,319.65,TRUE
P0092,Product 0092,Books,277.19,TRUE
P0093,Product 0093,Electronics,58.6,TRUE
P0094,Product 0094,Apparel,274.16,TRUE
P0095,Product 0095,Apparel,216.6,TRUE
P0096,Product 0096,Toys,449.79,FALSE
P0097,Product 0097,Electronics,449.77,TRUE
P0098,Product 0098,Home,334.47,TRUE
P0099,Product 0099,Beauty,487.0,TRUE
P0100,Product 0100,Home,432.71,TRUE
P0101,Product 0101,Apparel,441.06,TRUE
P0102,Product 0102,Toys,391.85,FALSE
P0103,Product 0103,Home,135.6,TRUE
P0104,Product 0104,Grocery,193.12,TRUE
P0105,Product 0105,Books,113.55,FALSE
P0106,Product 0106,Books,176.78,TRUE
P0107,Product 0107,Home,113.79,TRUE
P0108,Product 0108,Beauty,166.15,TRUE
P0109,Product 0109,Sports,177.52,TRUE
P0110,Product 0110,Toys,469.8,TRUE
P0111,Product 0111,Sports,91.75,TRUE
P0112,Product 0112,Sports,22.01,TRUE
P0113,Product 0113,Toys,365.09,TRUE
P0114,Product 0114,Grocery,194.44,TRUE
P0115,Product 0115,Sports,25.06,TRUE
P0116,Product 0116,Home,184.02,TRUE
P0117,Product 0117,Toys,312.71,TRUE
P0118,Product 0118,Grocery,360.72,TRUE
P0119,Product 0119,Sports,334.45,TRUE
P0120,Product 0120,Sports,278.54,TRUE
P0121,Product 0121,Beauty,339.63,TRUE
P0122,Product 0122,Sports,204.82,TRUE
P0123,Product 0123,Sports,145.6,TRUE
P0124,Product 0124,Toys,234.1,TRUE
P0125,Product 0125,Home,257.05,TRUE
P0126,Product 0126,Apparel,330.45,TRUE
P0127,Product 0127,Toys,49.41,TRUE
P0128,Product 0128,Home,337.38,TRUE
P0129,Product 0129,Home,76.23,TRUE
P0130,Product 0130,Books,306.8,FALSE
P0131,Product 0131,Books,208.98,TRUE
P0132,Product 0132,Home,360.02,TRUE
P0133,Product 0133,Beauty,124.26,TRUE
P0134,Product 0134,Electronics,446.65,TRUE
P0135,Product 0135,Grocery,389.87,TRUE
P0136,Product 0136,Books,27.96,TRUE
P0137,Product 0137,Grocery,229.86,TRUE
P0138,Product 0138,Toys,475.17,TRUE
P0139,Product 0139,Beauty,415.79,TRUE
P0140,Product 0140,Apparel,372.6,TRUE
P0141,Product 0141,Sports,376.63,TRUE
P0142,Product 0142,Sports,383.61,TRUE
P0143,Product 0143,Home,139.47,TRUE
P0144,Product 0144,Sports,119.54,TRUE
P0145,Product 0145,Grocery,71.77,TRUE
P0146,Product 0146,Apparel,354.09,TRUE
P0147,Product 0147,Beauty,167.45,TRUE
P0148,Product 0148,Electronics,105.8,TRUE
P0149,Product 0149,Electronics,428.8,TRUE
P0150,Product 0150,Beauty,240.06,TRUE
P0151,Product 0151,Sports,377.48,TRUE
P0152,Product 0152,Beauty,270.5,TRUE
P0153,Product 0153,Home,245.65,TRUE
P0154,Product 0154,Books,17.43,TRUE
P0155,Product 0155,Beauty,362.92,TRUE
P0156,Product 0156,Apparel,490.42,TRUE
P0157,Product 0157,Beauty,297.17,TRUE
P0158,Product 0158,Grocery,322.45,TRUE
P0159,Product 0159,Books,93.32,TRUE
P0160,Product 0160,Toys,108.2,TRUE
P0161,Product 0161,Beauty,141.29,TRUE
P0162,Product 0162,Beauty,128.38,TRUE
P0163,Product 0163,Electronics,375.27,TRUE
P0164,Product 0164,Toys,114.44,TRUE
P0165,Product 0165,Electronics,377.85,TRUE
P0166,Product 0166,Home,420.1,TRUE
P0167,Product 0167,Home,65.73,TRUE
P0168,Product 0168,Home,234.12,TRUE
P0169,Product 0169,Toys,86.39,TRUE
P0170,Product 0170,Grocery,389.56,TRUE
P0171,Product 0171,Sports,56.73,TRUE
P0172,Product 0172,Sports,289.17,FALSE
P0173,Product 0173,Beauty,200.14,TRUE
P0174,Product 0174,Grocery,297.27,TRUE
P0175,Product 0175,Home,53.64,TRUE
P0176,Product 0176,Grocery,398.72,TRUE
P0177,Product 0177,Electronics,175.56,TRUE
P0178,Product 0178,Toys,37.27,TRUE
P0179,Product 0179,Electronics,425.24,TRUE
P0180,Product 0180,Grocery,218.46,TRUE
P0181,Product 0181,Books,354.53,TRUE
P0182,Product 0182,Sports,309.11,TRUE
P0183,Product 0183,Books,234.04,TRUE
P0184,Product 0184,Sports,163.19,TRUE
P0185,Product 0185,Grocery,141.63,TRUE
P0186,Product 0186,Books,286.22,TRUE
P0187,Product 0187,Toys,17.26,TRUE
P0188,Product 0188,Apparel,245.31,TRUE
P0189,Product 0189,Sports,172.15,TRUE
P0190,Product 0190,Sports,279.23,TRUE
P0191,Product 0191,Home,45.55,TRUE
P0192,Product 0192,Books,278.92,TRUE
P0193,Product 0193,Books,324.01,TRUE
P0194,Product 0194,Electronics,49.25,TRUE
P0195,Product 0195,Home,155.18,TRUE
P0196,Product 0196,Books,278.08,TRUE
P0197,Product 0197,Toys,177.85,TRUE
P0198,Product 0198,Sports,127.95,TRUE
P0199,Product 0199,Home,159.83,TRUE
P0200,Product 0200,Apparel,98.2,TRUE
