customer_id,customer_name,segment,city,created_date
C00065,Customer 00065,Corporate,Galle,2023-07-28
C00066,Customer 00066,Corporate,Batticaloa,2025-08-07
C00067,Customer 00067,Small Business,Batticaloa,2025-06-20
C00068,Customer 00068,Consumer,Jaffna,2023-05-05
C00069,Customer 00069,Consumer,Negombo,2024-12-27
C00070,Customer 00070,Consumer,Anuradhapura,2024-07-18
C00071,Customer 00071,Consumer,Kandy,2023-04-06
C00072,Customer 00072,Consumer,Galle,2024-04-17
C00073,Customer 00073,Small Business,Negombo,2024-05-25
C00074,Customer 00074,Small Business,Negombo,2024-06-05
C00075,Customer 00075,Corporate,Batticaloa,2024-03-01
C00076,Customer 00076,Corporate,Galle,2023-09-07
C00077,Customer 00077,Consumer,Galle,2024-01-28
C00078,Customer 00078,Consumer,Negombo,2025-06-03
C00079,Customer 00079,Corporate,Kurunegala,2025-03-02
C00080,Customer 00080,Small Business,Negombo,2025-08-14
C00081,Customer 00081,Consumer,Negombo,2025-04-20
C00082,Customer 00082,Corporate,Batticaloa,2025-01-13
C00083,Customer 00083,Consumer,Batticaloa,2025-06-05
C00084,Customer 00084,Corporate,Kurunegala,2024-07-05
C00085,Customer 00085,Small Business,Anuradhapura,2023-12-07
C00086,Customer 00086,Corporate,Jaffna,2024-04-11
C00087,Customer 00087,Consumer,Anuradhapura,2024-12-15
C00088,Customer 00088,Corporate,Colombo,2023-08-28
C00089,Customer 00089,Small Business,Batticaloa,2023-11-22
C00090,Customer 00090,Corporate,Anuradhapura,2024-12-23
C00091,Customer 00091,Small Business,Galle,2024-11-10
C00092,Customer 00092,Consumer,Galle,2024-05-22
C00093,Customer 00093,Small Business,Kurunegala,2024-05-29
C00094,Customer 00094,Consumer,Batticaloa,2025-06-09
C00095,Customer 00095,Small Business,Batticaloa,2023-04-13
C00096,Customer 00096,Small Business,Galle,2023-01-16
C00097,Customer 00097,Small Business,Galle,2024-02-24
C00098,Customer 00098,Corporate,Negombo,2023-03-18
C00099,Customer 00099,Small Business,Anuradhapura,2023-12-13
C00100,Customer 00100,Consumer,Kurunegala,2024-10-27
C00101,Customer 00101,Small Business,Anuradhapura,2025-05-22
C00102,Customer 00102,Corporate,Batticaloa,2025-09-04
C00103,Customer 00103,Small Business,Colombo,2025-06-12
C00104,Customer 00104,Consumer,Jaffna,2024-09-24
C00105,Customer 00105,Small Business,Negombo,2024-10-08
C00106,Customer 00106,Small Business,Kandy,2023-08-21
C00107,Customer 00107,Consumer,Kandy,2024-03-20
C00108,Customer 00108,Consumer,Negombo,2024-03-30
C00109,Customer 00109,Consumer,Colombo,2025-07-14
C00110,Customer 00110,Consumer,Negombo,2023-11-29
C00111,Customer 00111,Corporate,Anuradhapura,2024-01-03
C00112,Customer 00112,Consumer,Anuradhapura,2023-05-30
C00113,Customer 00113,Small Business,Galle,2024-08-02
C00114,Customer 00114,Consumer,Kandy,2023-06-24
C00115,Customer 00115,Corporate,Jaffna,2024-09-16
C00116,Customer 00116,Small Business,Galle,2024-05-24
C00117,Customer 00117,Corporate,Negombo,2023-08-26
C00118,Customer 00118,Corporate,Colombo,2024-04-15
C00119,Customer 00119,Corporate,Negombo,2025-07-09
C00120,Customer 00120,Small Business,Galle,2024-11-24
C00121,Customer 00121,Corporate,Kurunegala,2023-03-17
C00122,Customer 00122,Corporate,Anuradhapura,2024-08-24
C00123,Customer 00123,Corporate,Batticaloa,2024-12-07
C00124,Customer 00124,Corporate,Jaffna,2025-05-15
C00125,Customer 00125,Corporate,Kandy,2024-01-29
C00126,Customer 00126,Corporate,Kurunegala,2023-08-31
C00127,Customer 00127,Corporate,Negombo,2024-08-11
C00128,Customer 00128,Small Business,Anuradhapura,2023-01-23
C00129,Customer 00129,Consumer,Colombo,2023-10-09
C00130,Customer 00130,Small Business,Batticaloa,2025-07-21
C00131,Customer 00131,Corporate,Jaffna,2025-05-02
C00132,Customer 00132,Corporate,Jaffna,2024-09-13
C00133,Customer 00133,Consumer,Negombo,2024-10-13
C00134,Customer 00134,Small Business,Galle,2024-11-25
C00135,Customer 00135,Consumer,Colombo,2024-10-05
C00136,Customer 00136,Corporate,Colombo,2023-11-13
C00137,Customer 00137,Corporate,Galle,2024-08-16
C00138,Customer 00138,Corporate,Kurunegala,2023-04-03
C00139,Customer 00139,Corporate,Galle,2025-02-04
C00140,Customer 00140,Consumer,Kurunegala,2023-07-25
C00141,Customer 00141,Small Business,Negombo,2024-06-27
C00142,Customer 00142,Consumer,Negombo,2025-04-30
C00143,Customer 00143,Corporate,Negombo,2025-07-24
C00144,Customer 00144,Corporate,Kandy,2025-02-03
C00145,Customer 00145,Consumer,Galle,2024-04-24
C00146,Customer 00146,Consumer,Anuradhapura,2025-02-11
C00147,Customer 00147,Small Business,Kurunegala,2025-09-17
C00148,Customer 00148,Corporate,Colombo,2023-04-03
C00149,Customer 00149,Small Business,Kandy,2023-09-28
C00150,Customer 00150,Corporate,Negombo,2024-04-10
C00151,Customer 00151,Corporate,Kurunegala,2024-08-21
C00152,Customer 00152,Small Business,Jaffna,2023-04-21
C00153,Customer 00153,Consumer,Kurunegala,2024-04-27
C00154,Customer 00154,Small Business,Jaffna,2025-07-26
C00155,Customer 00155,Consumer,Batticaloa,2024-10-25
C00156,Customer 00156,Small Business,Negombo,2025-07-20
C00157,Customer 00157,Corporate,Kandy,2024-10-26
C00158,Customer 00158,Consumer,Colombo,2023-05-24
C00159,Customer 00159,Corporate,Kandy,2023-11-08
C00160,Customer 00160,Consumer,Galle,2023-04-10
C00161,Customer 00161,Corporate,Kurunegala,2024-02-02
C00162,Customer 00162,Small Business,Anuradhapura,2024-11-17
C00163,Customer 00163,Small Business,Galle,2024-08-24
C00164,Customer 00164,Corporate,Kandy,2025-06-25
C00165,Customer 00165,Corporate,Anuradhapura,2025-05-03
C00166,Customer 00166,Corporate,Colombo,2025-08-19
C00167,Customer 00167,Corporate,Jaffna,2024-12-07
C00168,Customer 00168,Corporate,Jaffna,2024-03-30
C00169,Customer 00169,Corporate,Kandy,2025-05-25
C00170,Customer 00170,Corporate,Kurunegala,2024-12-03
C00171,Customer 00171,Corporate,Negombo,2023-03-04
C00172,Customer 00172,Consumer,Batticaloa,2023-07-14
C00173,Customer 00173,Small Business,Jaffna,2023-04-04
C00174,Customer 00174,Small Business,Colombo,2024-10-19
C00175,Customer 00175,Corporate,Jaffna,2023-02-21
C00176,Customer 00176,Small Business,Jaffna,2023-05-09
C00177,Customer 00177,Small Business,Jaffna,2023-03-12
C00178,Customer 00178,Consumer,Jaffna,2024-08-23
C00179,Customer 00179,Consumer,Colombo,2023-12-03
C00180,Customer 00180,Consumer,Galle,2023-10-11
C00181,Customer 00181,Corporate,Galle,2024-07-07
C00182,Customer 00182,Small Business,Colombo,2023-04-23
C00183,Customer 00183,Consumer,Kurunegala,2023-05-15
C00184,Customer 00184,Consumer,Kurunegala,2025-03-19
C00185,Customer 00185,Consumer,Negombo,2023-01-17
C00186,Customer 00186,Consumer,Anuradhapura,2023-02-23
C00187,Customer 00187,Consumer,Kandy,2024-06-22
C00188,Customer 00188,Corporate,Kurunegala,2024-05-02
C00189,Customer 00189,Small Business,Kandy,2024-06-09
C00190,Customer 00190,Small Business,Jaffna,2024-04-07
C00191,Customer 00191,Small Business,Colombo,2025-08-26
C00192,Customer 00192,Small Business,Negombo,2025-01-14
C00193,Customer 00193,Small Business,Colombo,2024-04-14
C00194,Customer 00194,Corporate,Anuradhapura,2023-03-04
C00195,Customer 00195,Small Business,Kandy,2024-03-12
C00196,Customer 00196,Small Business,Batticaloa,2024-05-17
C00197,Customer 00197,Consumer,Kurunegala,2023-03-17
C00198,Customer 00198,Consumer,Kandy,2024-09-14
C00199,Customer 00199,Corporate,Kurunegala,2023-05-10
C00200,Customer 00200,Small Business,Negombo,2024-01-26
C00201,Customer 00201,Small Business,Anuradhapura,2024-04-09
C00202,Customer 00202,Small Business,Kandy,2023-04-12
C00203,Customer 00203,Small Business,Jaffna,2025-05-23
C00204,Customer 00204,Corporate,Jaffna,2024-03-16
C00205,Customer 00205,Corporate,Batticaloa,2024-02-28
C00206,Customer 00206,Corporate,Kandy,2024-02-13
C00207,Customer 00207,Corporate,Kurunegala,2023-11-17
C00208,Customer 00208,Corporate,Kurunegala,2024-11-12
C00209,Customer 00209,Consumer,Batticaloa,2025-09-03
C00210,Customer 00210,Consumer,Kandy,2023-03-10
C00211,Customer 00211,Corporate,Kandy,2023-04-06
C00212,Customer 00212,Small Business,Kurunegala,2025-02-01
C00213,Customer 00213,Consumer,Colombo,2025-04-11
C00214,Customer 00214,Small Business,Kurunegala,2024-08-23
C00215,Customer 00215,Consumer,Anuradhapura,2024-11-17
C00216,Customer 00216,Small Business,Anuradhapura,2023-12-29
C00217,Customer 00217,Small Business,Colombo,2025-06-07
C00218,Customer 00218,Corporate,Negombo,2025-09-18
C00219,Customer 00219,Consumer,Jaffna,2023-12-27
C00220,Customer 00220,Small Business,Batticaloa,2023-06-08
C00221,Customer 00221,Consumer,Kurunegala,2023-08-18
C00222,Customer 00222,Small Business,Kurunegala,2025-05-15
C00223,Customer 00223,Corporate,Jaffna,2023-04-28
C00224,Customer 00224,Corporate,Colombo,2025-04-06
C00225,Customer 00225,Small Business,Negombo,2024-09-15
C00226,Customer 00226,Consumer,Negombo,2023-01-30
C00227,Customer 00227,Corporate,Kurunegala,2024-12-20
C00228,Customer 00228,Consumer,Galle,2023-12-26
C00229,Customer 00229,Consumer,Anuradhapura,2025-06-09
C00230,Customer 00230,Consumer,Colombo,2023-03-13
C00231,Customer 00231,Small Business,Jaffna,2023-04-04
C00232,Customer 00232,Corporate,Batticaloa,2024-01-21
C00233,Customer 00233,Consumer,Kurunegala,2023-12-16
C00234,Customer 00234,Small Business,Kurunegala,2023-11-16
C00235,Customer 00235,Small Business,Kandy,2025-03-06
C00236,Customer 00236,Consumer,Galle,2025-06-23
C00237,Customer 00237,Small Business,Colombo,2023-06-11
C00238,Customer 00238,Consumer,Negombo,2024-11-21
C00239,Customer 00239,Small Business,Anuradhapura,2024-03-29
C00240,Customer 00240,Small Business,Batticaloa,2024-05-12
C00241,Customer 00241,Corporate,Jaffna,2024-02-29
C00242,Customer 00242,Small Business,Kandy,2025-02-12
C00243,Customer 00243,Corporate,Kandy,2023-12-20
C00244,Customer 00244,Small Business,Batticaloa,2023-10-18
C00245,Customer 00245,Small Business,Negombo,2024-06-23
C00246,Customer 00246,Consumer,Anuradhapura,2023-02-16
C00247,Customer 00247,Consumer,Colombo,2024-09-05
C00248,Customer 00248,Corporate,Jaffna,2023-07-29
C00249,Customer 00249,Consumer,Negombo,2025-02-24
C00250,Customer 00250,Corporate,Kandy,2023-10-24
C00251,Customer 00251,Corporate,Anuradhapura,2023-01-08
C00252,Customer 00252,Consumer,Anuradhapura,2023-06-29
C00253,Customer 00253,Small Business,Jaffna,2024-06-29
C00254,Customer 00254,Small Business,Kurunegala,2024-05-27
C00255,Customer 00255,Corporate,Colombo,2023-03-15
C00256,Customer 00256,Consumer,Batticaloa,2024-03-22
C00257,Customer 00257,Consumer,Kurunegala,2025-08-01
C00258,Customer 00258,Corporate,Anuradhapura,2024-08-12
C00259,Customer 00259,Small Business,Anuradhapura,2024-12-27
C00260,Customer 00260,Consumer,Anuradhapura,2023-10-24
C00261,Customer 00261,Corporate,Galle,2023-01-22
C00262,Customer 00262,Small Business,Batticaloa,2025-03-31
C00263,Customer 00263,Small Business,Kurunegala,2025-05-01
C00264,Customer 00264,Corporate,Kandy,2023-04-01
C00265,Customer 00265,Corporate,Anuradhapura,2023-09-07
C00266,Customer 00266,Consumer,Anuradhapura,2024-06-20
C00267,Customer 00267,Corporate,Kurunegala,2025-06-10
C00268,Customer 00268,Corporate,Galle,2023-08-15
C00269,Customer 00269,Small Business,Kandy,2023-03-20
C00270,Customer 00270,Small Business,Jaffna,2024-06-27
C00271,Customer 00271,Corporate,Kurunegala,2025-07-16
C00272,Customer 00272,Small Business,Galle,2025-01-14
C00273,Customer 00273,Consumer,Galle,2023-08-30
C00274,Customer 00274,Consumer,Galle,2023-09-20
C00275,Customer 00275,Consumer,Kandy,2024-09-08
C00276,Customer 00276,Small Business,Batticaloa,2023-07-01
C00277,Customer 00277,Small Business,Batticaloa,2024-04-20
C00278,Customer 00278,Small Business,Kurunegala,2024-11-28
C00279,Customer 00279,Small Business,Kurunegala,2025-06-03
C00280,Customer 00280,Corporate,Kandy,2023-06-04
C00281,Customer 00281,Corporate,Negombo,2024-04-25
C00282,Customer 00282,Corporate,Colombo,2025-03-26
C00283,Customer 00283,Small Business,Kandy,2023-12-27
C00284,Customer 00284,Corporate,Batticaloa,2023-11-14
C00285,Customer 00285,Consumer,Kurunegala,2023-02-08
C00286,Customer 00286,Corporate,Kandy,2025-05-01
C00287,Customer 00287,Consumer,Anuradhapura,2024-10-22
C00288,Customer 00288,Small Business,Colombo,2024-04-18
C00289,Customer 00289,Small Business,Jaffna,2024-04-05
C00290,Customer 00290,Small Business,Batticaloa,2023-11-26
C00291,Customer 00291,Consumer,Colombo,2024-05-28
C00292,Customer 00292,Consumer,Kurunegala,2024-04-06
C00293,Customer 00293,Consumer,Galle,2025-01-01
C00294,Customer 00294,Consumer,Batticaloa,2023-02-10
C00295,Customer 00295,Small Business,Galle,2024-03-25
C00296,Customer 00296,Corporate,Negombo,2024-01-08
C00297,Customer 00297,Corporate,Kurunegala,2024-02-01
C00298,Customer 00298,Small Business,Colombo,2024-11-26
C00299,Customer 00299,Small Business,Kurunegala,2025-03-19
C00300,Customer 00300,Corporate,Kandy,2023-03-09
C00301,Customer 00301,Small Business,Anuradhapura,2024-07-25
C00302,Customer 00302,Corporate,Galle,2023-10-18
C00303,Customer 00303,Consumer,Galle,2023-12-08
C00304,Customer 00304,Corporate,Negombo,2025-07-27
C00305,Customer 00305,Small Business,Anuradhapura,2025-09-17
C00306,Customer 00306,Small Business,Kandy,2023-05-13
C00307,Customer 00307,Small Business,Anuradhapura,2023-11-14
C00308,Customer 00308,Corporate,Galle,2024-10-20
C00309,Customer 00309,Small Business,Kandy,2024-11-17
C00310,Customer 00310,Small Business,Anuradhapura,2024-10-23
C00311,Customer 00311,Corporate,Colombo,2024-06-04
C00312,Customer 00312,Corporate,Galle,2024-01-07
C00313,Customer 00313,Consumer,Kurunegala,2025-08-31
C00314,Customer 00314,Corporate,Jaffna,2025-08-28
C00315,Customer 00315,Consumer,Galle,2023-08-20
C00316,Customer 00316,Corporate,Kandy,2023-03-21
C00317,Customer 00317,Small Business,Colombo,2024-06-03
C00318,Customer 00318,Corporate,Galle,2024-11-08
C00319,Customer 00319,Corporate,Galle,2024-09-03
C00320,Customer 00320,Consumer,Galle,2023-06-16
C00321,Customer 00321,Corporate,Colombo,2025-01-08
C00322,Customer 00322,Corporate,Jaffna,2024-02-25
C00323,Customer 00323,Corporate,Negombo,2025-09-19
C00324,Customer 00324,Small Business,Batticaloa,2025-02-09
C00325,Customer 00325,Small Business,Jaffna,2023-08-28
C00326,Customer 00326,Corporate,Jaffna,2023-11-13
C00327,Customer 00327,Small Business,Batticaloa,2024-01-12
C00328,Customer 00328,Corporate,Anuradhapura,2024-04-17
C00329,Customer 00329,Small Business,Anuradhapura,2024-05-29
C00330,Customer 00330,Consumer,Jaffna,2025-09-16
C00331,Customer 00331,Small Business,Galle,2025-03-31
C00332,Customer 00332,Corporate,Colombo,2025-06-12
C00333,Customer 00333,Corporate,Kurunegala,2024-10-18
C00334,Customer 00334,Consumer,Kandy,2024-07-21
C00335,Customer 00335,Consumer,Galle,2023-10-19
C00336,Customer 00336,Corporate,Galle,2023-10-07
C00337,Customer 00337,Corporate,Kandy,2025-04-30
C00338,Customer 00338,Consumer,Batticaloa,2025-08-27
C00339,Customer 00339,Corporate,Colombo,2025-06-24
C00340,Customer 00340,Consumer,Anuradhapura,2024-02-29
C00341,Customer 00341,Corporate,Jaffna,2024-05-29
C00342,Customer 00342,Consumer,Kurunegala,2024-01-31
C00343,Customer 00343,Consumer,Kurunegala,2023-08-18
C00344,Customer 00344,Consumer,Kurunegala,2025-08-11
C00345,Customer 00345,Consumer,Galle,2025-03-21
C00346,Customer 00346,Corporate,Batticaloa,2023-02-09
C00347,Customer 00347,Consumer,Batticaloa,2024-12-13
C00348,Customer 00348,Small Business,Colombo,2024-04-04
C00349,Customer 00349,Consumer,Colombo,2025-07-16
C00350,Customer 00350,Consumer,Galle,2023-09-20
C00351,Customer 00351,Small Business,Anuradhapura,2024-07-15
C00352,Customer 00352,Corporate,Jaffna,2023-04-24
C00353,Customer 00353,Consumer,Colombo,2023-11-05
C00354,Customer 00354,Corporate,Batticaloa,2023-09-02
C00355,Customer 00355,Consumer,Batticaloa,2023-03-06
C00356,Customer 00356,Small Business,Colombo,2024-09-03
C00357,Customer 00357,Small Business,Jaffna,2024-10-09
C00358,Customer 00358,Consumer,Negombo,2025-01-05
C00359,Customer 00359,Consumer,Kurunegala,2024-03-15
C00360,Customer 00360,Small Business,Anuradhapura,2023-09-04
C00361,Customer 00361,Small Business,Kandy,2023-07-11
C00362,Customer 00362,Corporate,Kandy,2024-06-20
C00363,Customer 00363,Small Business,Colombo,2025-09-03
C00364,Customer 00364,Corporate,Colombo,2024-02-04
C00365,Customer 00365,Corporate,Kurunegala,2024-10-12
C00366,Customer 00366,Small Business,Colombo,2023-09-17
C00367,Customer 00367,Consumer,Kurunegala,2024-01-01
C00368,Customer 00368,Small Business,Kandy,2023-09-04
C00369,Customer 00369,Small Business,Kurunegala,2025-03-01
C00370,Customer 00370,Consumer,Kurunegala,2023-05-17
C00371,Customer 00371,Corporate,Galle,2024-07-13
C00372,Customer 00372,Small Business,Batticaloa,2025-04-30
C00373,Customer 00373,Corporate,Galle,2024-12-13
C00374,Customer 00374,Consumer,Kandy,2025-04-10
C00375,Customer 00375,Corporate,Colombo,2025-01-03
C00376,Customer 00376,Consumer,Colombo,2023-10-28
C00377,Customer 00377,Consumer,Colombo,2025-03-21
C00378,Customer 00378,Corporate,Anuradhapura,2023-11-20
C00379,Customer 00379,Small Business,Batticaloa,2025-04-14
C00380,Customer 00380,Consumer,Jaffna,2023-09-17
C00381,Customer 00381,Corporate,Colombo,2023-10-20
C00382,Customer 00382,Small Business,Kurunegala,2025-06-05
C00383,Customer 00383,Consumer,Kurunegala,2023-10-07
C00384,Customer 00384,Corporate,Batticaloa,2024-03-23
C00385,Customer 00385,Corporate,Kurunegala,2025-07-05
C00386,Customer 00386,Consumer,Batticaloa,2025-09-24
C00387,Customer 00387,Corporate,Kurunegala,2024-12-09
C00388,Customer 00388,Small Business,Negombo,2025-08-04
C00389,Customer 00389,Consumer,Anuradhapura,2025-03-31
C00390,Customer 00390,Corporate,Galle,2023-03-22
C00391,Customer 00391,Corporate,Kurunegala,2024-07-12
C00392,Customer 00392,Consumer,Kurunegala,2023-04-16
C00393,Customer 00393,Corporate,Negombo,2024-11-07
C00394,Customer 00394,Small Business,Anuradhapura,2024-04-01
C00395,Customer 00395,Small Business,Batticaloa,2023-06-20
C00396,Customer 00396,Corporate,Colombo,2023-12-26
C00397,Customer 00397,Corporate,Anuradhapura,2025-01-14
C00398,Customer 00398,Small Business,Colombo,2023-10-09
C00399,Customer 00399,Small Business,Anuradhapura,2023-03-18
C00400,Customer 00400,Small Business,Galle,2024-01-08
C00401,Customer 00401,Consumer,Galle,2025-09-02
C00402,Customer 00402,Small Business,Batticaloa,2025-05-19
C00403,Customer 00403,Consumer,Kandy,2023-02-05
C00404,Customer 00404,Small Business,Kurunegala,2023-08-30
C00405,Customer 00405,Corporate,Colombo,2024-01-06
C00406,Customer 00406,Consumer,Batticaloa,2024-09-11
C00407,Customer 00407,Corporate,Kurunegala,2025-08-29
C00408,Customer 00408,Consumer,Galle,2024-03-30
C00409,Customer 00409,Corporate,Anuradhapura,2024-06-26
C00410,Customer 00410,Small Business,Negombo,2023-11-18
C00411,Customer 00411,Consumer,Colombo,2023-09-13
C00412,Customer 00412,Consumer,Batticaloa,2025-01-23
C00413,Customer 00413,Corporate,Kandy,2024-06-14
C00414,Customer 00414,Corporate,Batticaloa,2023-09-26
C00415,Customer 00415,Small Business,Negombo,2023-08-08
C00416,Customer 00416,Corporate,Jaffna,2024-12-11
C00417,Customer 00417,Consumer,Kandy,2023-05-06
C00418,Customer 00418,Consumer,Batticaloa,2024-04-07
C00419,Customer 00419,Small Business,Kurunegala,2023-03-31
C00420,Customer 00420,Corporate,Kandy,2024-11-14
C00421,Customer 00421,Small Business,Negombo,2024-07-17
C00422,Customer 00422,Corporate,Galle,2025-07-01
C00423,Customer 00423,Small Business,Galle,2024-12-29
C00424,Customer 00424,Corporate,Jaffna,2025-03-23
C00425,Customer 00425,Consumer,Galle,2023-05-05
C00426,Customer 00426,Corporate,Colombo,2023-08-31
C00427,Customer 00427,Small Business,Kurunegala,2024-01-05
C00428,Customer 00428,Small Business,Galle,2024-04-23
C00429,Customer 00429,Consumer,Kandy,2024-09-18
C00430,Customer 00430,Corporate,Batticaloa,2023-11-13
C00431,Customer 00431,Corporate,Anuradhapura,2024-06-22
C00432,Customer 00432,Small Business,Kandy,2025-04-23
C00433,Customer 00433,Corporate,Kandy,2023-05-09
C00434,Customer 00434,Corporate,Kurunegala,2024-04-05
C00435,Customer 00435,Small Business,Galle,2023-05-12
C00436,Customer 00436,Consumer,Anuradhapura,2025-02-25
C00437,Customer 00437,Consumer,Kandy,2024-05-29
C00438,Customer 00438,Consumer,Negombo,2024-06-14
C00439,Customer 00439,Consumer,Kurunegala,2023-06-18
C00440,Customer 00440,Small Business,Jaffna,2025-08-15
C00441,Customer 00441,Small Business,Negombo,2023-12-21
C00442,Customer 00442,Consumer,Negombo,2025-05-16
C00443,Customer 00443,Small Business,Negombo,2023-07-21
C00444,Customer 00444,Small Business,Negombo,2023-05-09
C00445,Customer 00445,Small Business,Kandy,2024-09-21
C00446,Customer 00446,Small Business,Galle,2024-05-29
C00447,Customer 00447,Small Business,Galle,2024-08-29
C00448,Customer 00448,Small Business,Kurunegala,2023-06-25
C00449,Customer 00449,Small Business,Colombo,2025-05-12
C00450,Customer 00450,Consumer,Kandy,2025-04-25
C00451,Customer 00451,Small Business,Negombo,2023-02-16
C00452,Customer 00452,Consumer,Anuradhapura,2024-10-28
C00453,Customer 00453,Small Business,Colombo,2024-09-24
C00454,Customer 00454,Small Business,Negombo,2024-05-24
C00455,Customer 00455,Corporate,Batticaloa,2024-10-19
C00456,Customer 00456,Small Business,Anuradhapura,2023-09-08
C00457,Customer 00457,Corporate,Kandy,2023-11-01
C00458,Customer 00458,Consumer,Galle,2024-12-06
C00459,Customer 00459,Corporate,Batticaloa,2024-03-26
C00460,Customer 00460,Consumer,Kurunegala,2024-04-20
C00461,Customer 00461,Consumer,Kurunegala,2024-09-13
C00462,Customer 00462,Small Business,Kurunegala,2025-06-01
C00463,Customer 00463,Corporate,Anuradhapura,2025-01-21
C00464,Customer 00464,Corporate,Kandy,2023-05-14
C00465,Customer 00465,Consumer,Batticaloa,2023-11-23
C00466,Customer 00466,Corporate,Batticaloa,2023-05-06
C00467,Customer 00467,Consumer,Kandy,2023-09-11
C00468,Customer 00468,Corporate,Anuradhapura,2023-02-21
C00469,Customer 00469,Small Business,Anuradhapura,2025-06-03
C00470,Customer 00470,Consumer,Kurunegala,2023-09-12
C00471,Customer 00471,Small Business,Kurunegala,2025-08-14
C00472,Customer 00472,Consumer,Batticaloa,2023-07-14
C00473,Customer 00473,Corporate,Batticaloa,2024-06-11
C00474,Customer 00474,Corporate,Batticaloa,2025-06-19
C00475,Customer 00475,Consumer,Anuradhapura,2023-01-24
C00476,Customer 00476,Corporate,Jaffna,2024-06-01
C00477,Customer 00477,Small Business,Kurunegala,2023-08-09
C00478,Customer 00478,Consumer,Negombo,2023-02-19
C00479,Customer 00479,Small Business,Batticaloa,2024-05-21
C00480,Customer 00480,Small Business,Colombo,2023-10-20
C00481,Customer 00481,Consumer,Anuradhapura,2025-05-17
C00482,Customer 00482,Corporate,Kurunegala,2023-05-18
C00483,Customer 00483,Corporate,Kurunegala,2025-02-21
